B1,B2,A1,B3,B4,B5,B6,B7,B8,A2,class
18 ,33 ,1 ,21248 ,24314 ,10 ,8 ,1432 ,1416 ,3 ,0 
14 ,20 ,1 ,18654 ,22578 ,13 ,10 ,2197 ,1916 ,3 ,0 
16 ,27 ,1 ,22652 ,24930 ,13 ,8 ,1877 ,1236 ,3 ,0 
10 ,7 ,1 ,19494 ,22986 ,15 ,9 ,2217 ,1464 ,3 ,0 
10 ,4 ,1 ,17650 ,19395 ,17 ,5 ,2677 ,855 ,3 ,0 
26 ,38 ,2 ,20736 ,24963 ,15 ,10 ,2577 ,2134 ,3 ,0 
15 ,22 ,3 ,21208 ,25258 ,11 ,8 ,1880 ,1568 ,3 ,0 
14 ,20 ,1 ,18914 ,20981 ,13 ,7 ,2189 ,1661 ,3 ,0 
26 ,40 ,1 ,13912 ,17171 ,12 ,9 ,2045 ,2289 ,3 ,0 
0 ,0 ,1 ,26891 ,22352 ,7 ,1 ,590 ,70 ,3 ,1 
22 ,46 ,1 ,17728 ,21297 ,12 ,9 ,1990 ,1835 ,3 ,0 
23 ,37 ,1 ,20141 ,22951 ,12 ,8 ,2311 ,2118 ,3 ,0 
17 ,25 ,1 ,20567 ,22539 ,12 ,8 ,2304 ,2232 ,3 ,0 
17 ,30 ,1 ,20001 ,23358 ,13 ,8 ,2103 ,1840 ,3 ,0 
9 ,7 ,1 ,16820 ,21251 ,13 ,9 ,1986 ,1499 ,3 ,0 
30 ,39 ,1 ,20822 ,23472 ,10 ,9 ,1683 ,1862 ,3 ,0 
21 ,36 ,1 ,23291 ,25744 ,13 ,9 ,2322 ,1947 ,3 ,0 
7 ,8 ,1 ,18131 ,22733 ,10 ,9 ,1474 ,1352 ,3 ,0 
9 ,8 ,1 ,20252 ,22834 ,14 ,11 ,1973 ,1676 ,3 ,0 
21 ,31 ,2 ,19554 ,23596 ,14 ,11 ,1869 ,1607 ,3 ,0 
14 ,27 ,3 ,19752 ,22968 ,11 ,9 ,1727 ,1510 ,3 ,0 
0 ,0 ,1 ,32744 ,24946 ,6 ,1 ,706 ,357 ,3 ,1 
3 ,19 ,1 ,32703 ,24938 ,6 ,1 ,579 ,85 ,3 ,1 
0 ,0 ,1 ,32724 ,24952 ,6 ,1 ,811 ,426 ,3 ,1 
0 ,0 ,1 ,32405 ,24606 ,6 ,1 ,755 ,364 ,3 ,1 
18 ,29 ,2 ,15686 ,20925 ,14 ,8 ,2208 ,1506 ,3 ,0 
15 ,29 ,3 ,19327 ,21958 ,11 ,9 ,1585 ,1474 ,3 ,0 
13 ,35 ,1 ,15507 ,18781 ,5 ,5 ,731 ,1124 ,3 ,0 
15 ,28 ,1 ,19719 ,22527 ,12 ,9 ,1861 ,1733 ,3 ,0 
12 ,29 ,1 ,18966 ,24313 ,8 ,8 ,1260 ,1539 ,3 ,0 
18 ,29 ,1 ,18957 ,22458 ,13 ,9 ,2216 ,1902 ,3 ,0 
20 ,31 ,1 ,20611 ,23584 ,12 ,8 ,2322 ,1997 ,3 ,0 
8 ,7 ,1 ,17357 ,21045 ,12 ,10 ,1710 ,1473 ,3 ,0 
12 ,4 ,1 ,20735 ,23022 ,18 ,5 ,2714 ,871 ,3 ,0 
8 ,6 ,1 ,18404 ,22463 ,12 ,9 ,1912 ,1527 ,3 ,0 
20 ,32 ,1 ,20340 ,23010 ,14 ,9 ,2046 ,1349 ,3 ,0 
14 ,33 ,1 ,19138 ,21918 ,7 ,8 ,1133 ,1269 ,3 ,0 
10 ,7 ,1 ,21585 ,23607 ,14 ,10 ,2166 ,1522 ,3 ,0 
13 ,22 ,1 ,19699 ,22900 ,11 ,9 ,1732 ,1911 ,3 ,0 
8 ,7 ,1 ,17575 ,21254 ,8 ,7 ,1355 ,1619 ,3 ,0 
18 ,29 ,1 ,21171 ,24614 ,15 ,9 ,2505 ,1763 ,3 ,0 
12 ,8 ,1 ,15720 ,20355 ,16 ,10 ,2566 ,1670 ,3 ,0 
16 ,28 ,1 ,18870 ,23155 ,15 ,9 ,2243 ,1696 ,3 ,0 
19 ,27 ,1 ,20352 ,21892 ,14 ,9 ,2130 ,1488 ,3 ,0 
24 ,41 ,1 ,22299 ,23743 ,9 ,7 ,1713 ,2017 ,3 ,0 
20 ,32 ,1 ,19040 ,22911 ,13 ,9 ,1807 ,1441 ,3 ,0 
22 ,41 ,1 ,18328 ,22753 ,9 ,8 ,1482 ,1529 ,3 ,0 
20 ,35 ,1 ,22665 ,24180 ,27 ,58 ,66458 ,346572 ,3 ,0 
14 ,18 ,1 ,16546 ,21274 ,13 ,10 ,1933 ,1565 ,3 ,0 
6 ,6 ,1 ,20173 ,23690 ,10 ,9 ,1459 ,1469 ,3 ,0 
13 ,14 ,1 ,19396 ,21904 ,8 ,8 ,1428 ,1885 ,3 ,0 
13 ,28 ,1 ,22131 ,22344 ,9 ,8 ,1527 ,1438 ,3 ,0 
20 ,33 ,1 ,22422 ,25667 ,11 ,7 ,2089 ,1988 ,3 ,0 
21 ,32 ,1 ,20098 ,22850 ,16 ,8 ,2618 ,1880 ,3 ,0 
24 ,40 ,1 ,18379 ,21509 ,9 ,10 ,1448 ,1588 ,3 ,0 
28 ,39 ,1 ,17638 ,21896 ,15 ,9 ,2406 ,1748 ,3 ,0 
5 ,5 ,1 ,14757 ,20988 ,10 ,8 ,1528 ,1318 ,3 ,0 
19 ,36 ,1 ,19683 ,22366 ,13 ,21 ,15586 ,98475 ,3 ,0 
31 ,44 ,1 ,19997 ,22443 ,13 ,9 ,2170 ,2179 ,3 ,0 
29 ,71 ,1 ,21768 ,25403 ,9 ,8 ,1424 ,1518 ,3 ,0 
19 ,29 ,1 ,20989 ,22508 ,12 ,9 ,2186 ,2017 ,3 ,0 
16 ,24 ,1 ,16693 ,20948 ,16 ,9 ,2457 ,1421 ,3 ,0 
16 ,29 ,1 ,21694 ,24281 ,13 ,9 ,2067 ,1448 ,3 ,0 
20 ,34 ,1 ,16616 ,20492 ,11 ,10 ,1688 ,1812 ,3 ,0 
22 ,41 ,1 ,18407 ,21977 ,8 ,7 ,1351 ,1439 ,3 ,0 
8 ,6 ,1 ,18551 ,20628 ,14 ,9 ,2008 ,1428 ,3 ,0 
19 ,25 ,1 ,18037 ,22474 ,15 ,9 ,2175 ,1585 ,3 ,0 
8 ,6 ,1 ,19755 ,21755 ,14 ,8 ,2162 ,1371 ,3 ,0 
18 ,32 ,1 ,17651 ,21319 ,12 ,9 ,1883 ,1698 ,3 ,0 
12 ,13 ,1 ,17410 ,21935 ,10 ,8 ,1453 ,1362 ,3 ,0 
18 ,27 ,1 ,18094 ,20683 ,16 ,9 ,2458 ,1740 ,3 ,0 
15 ,29 ,1 ,21184 ,22534 ,10 ,7 ,1902 ,1881 ,3 ,0 
4 ,4 ,1 ,15297 ,17474 ,7 ,6 ,928 ,988 ,3 ,0 
2 ,3 ,1 ,21388 ,24294 ,7 ,8 ,1117 ,1619 ,3 ,0 
15 ,32 ,1 ,21478 ,23808 ,9 ,9 ,1350 ,1463 ,3 ,0 
28 ,40 ,1 ,18635 ,22966 ,13 ,9 ,2035 ,1850 ,3 ,0 
1058 ,9459 ,1 ,32494 ,24817 ,91 ,756 ,102199 ,1245793 ,3 ,1 
0 ,0 ,1 ,32905 ,25157 ,6 ,1 ,895 ,488 ,3 ,1 
15 ,27 ,1 ,21104 ,22313 ,11 ,9 ,1849 ,1758 ,3 ,0 
17 ,24 ,1 ,18756 ,22953 ,14 ,10 ,2186 ,1673 ,3 ,0 
18 ,35 ,1 ,18915 ,21773 ,10 ,7 ,1845 ,1671 ,3 ,0 
24 ,31 ,1 ,19937 ,22301 ,17 ,10 ,2703 ,1840 ,3 ,0 
18 ,26 ,1 ,19514 ,22209 ,13 ,8 ,2089 ,1501 ,3 ,0 
6 ,8 ,1 ,18760 ,19402 ,9 ,10 ,1291 ,1498 ,3 ,0 
19 ,29 ,1 ,20079 ,23312 ,13 ,9 ,1822 ,1354 ,3 ,0 
24 ,42 ,1 ,18737 ,22662 ,11 ,8 ,2114 ,2153 ,3 ,0 
37 ,46 ,1 ,19114 ,24653 ,16 ,11 ,2899 ,2549 ,3 ,0 
32 ,37 ,1 ,21630 ,23095 ,14 ,7 ,2322 ,1702 ,3 ,0 
7 ,6 ,1 ,19537 ,22752 ,10 ,9 ,1412 ,1370 ,3 ,0 
11 ,9 ,1 ,19438 ,23444 ,15 ,11 ,2152 ,1599 ,3 ,0 
25 ,44 ,1 ,20769 ,21811 ,16 ,8 ,2383 ,1525 ,3 ,0 
22 ,53 ,1 ,15311 ,20059 ,12 ,10 ,1730 ,1374 ,3 ,0 
14 ,9 ,1 ,13797 ,19869 ,16 ,8 ,2260 ,1248 ,3 ,0 
20 ,35 ,1 ,16208 ,21211 ,12 ,10 ,1699 ,1630 ,3 ,0 
8 ,8 ,1 ,20671 ,23236 ,10 ,9 ,1594 ,1531 ,3 ,0 
14 ,19 ,1 ,14529 ,19303 ,10 ,8 ,1648 ,1728 ,3 ,0 
35 ,44 ,1 ,17579 ,22291 ,14 ,8 ,2277 ,1730 ,3 ,0 
8 ,8 ,1 ,17649 ,21886 ,12 ,9 ,1709 ,1437 ,3 ,0 
16 ,30 ,1 ,15810 ,20413 ,11 ,9 ,1844 ,1874 ,3 ,0 
17 ,22 ,2 ,20465 ,22828 ,13 ,10 ,2032 ,1786 ,3 ,0 
27 ,44 ,3 ,22279 ,24318 ,12 ,7 ,2259 ,2076 ,3 ,0 
13 ,26 ,1 ,20077 ,21023 ,11 ,11 ,1632 ,1721 ,3 ,0 
9 ,8 ,1 ,19064 ,22846 ,13 ,10 ,1895 ,1384 ,3 ,0 
12 ,20 ,1 ,16012 ,21126 ,11 ,9 ,1693 ,1663 ,3 ,0 
23 ,51 ,1 ,21135 ,24374 ,12 ,10 ,1872 ,1848 ,3 ,0 
10 ,7 ,1 ,19138 ,23472 ,12 ,9 ,1803 ,1515 ,3 ,0 
11 ,9 ,1 ,19723 ,23285 ,15 ,8 ,2315 ,1228 ,3 ,0 
22 ,33 ,1 ,16303 ,20502 ,12 ,9 ,2324 ,2241 ,3 ,0 
22 ,39 ,1 ,14946 ,19206 ,8 ,8 ,1591 ,2174 ,3 ,0 
27 ,40 ,1 ,17119 ,20601 ,13 ,9 ,2362 ,1937 ,3 ,0 
30 ,45 ,1 ,16016 ,21510 ,12 ,7 ,2080 ,1936 ,3 ,0 
19 ,29 ,1 ,19158 ,21019 ,8 ,7 ,1194 ,1257 ,3 ,0 
16 ,29 ,1 ,22172 ,24541 ,10 ,10 ,1409 ,1541 ,3 ,0 
26 ,51 ,1 ,16927 ,20585 ,11 ,10 ,1521 ,1568 ,3 ,0 
1045 ,9406 ,1 ,32064 ,24714 ,58 ,473 ,32506 ,382096 ,3 ,1 
1 ,1 ,3 ,30492 ,25650 ,6 ,1 ,928 ,512 ,3 ,1 
0 ,0 ,3 ,32856 ,25147 ,7 ,1 ,758 ,367 ,3 ,1 
10 ,8 ,1 ,16397 ,21620 ,15 ,10 ,2169 ,1379 ,3 ,0 
8 ,5 ,1 ,21458 ,24250 ,13 ,9 ,1895 ,1433 ,3 ,0 
34 ,46 ,1 ,20789 ,21709 ,13 ,10 ,2197 ,1972 ,3 ,0 
7 ,7 ,1 ,19332 ,22673 ,13 ,9 ,1801 ,1374 ,3 ,0 
26 ,37 ,1 ,19279 ,22204 ,12 ,8 ,2078 ,1626 ,3 ,0 
3 ,5 ,1 ,21614 ,23337 ,6 ,8 ,867 ,1272 ,2 ,0 
10 ,7 ,1 ,18587 ,22463 ,15 ,9 ,2205 ,1329 ,3 ,0 
10 ,8 ,1 ,20929 ,25674 ,15 ,10 ,2191 ,1401 ,3 ,0 
22 ,39 ,1 ,19825 ,21820 ,9 ,9 ,1450 ,2043 ,3 ,0 
24 ,34 ,1 ,22206 ,24049 ,11 ,8 ,1640 ,1291 ,3 ,0 
40 ,49 ,1 ,20494 ,23035 ,15 ,8 ,2667 ,1887 ,3 ,0 
16 ,28 ,1 ,18847 ,21747 ,12 ,8 ,1898 ,1682 ,3 ,0 
9 ,9 ,1 ,18351 ,24535 ,11 ,10 ,1638 ,1511 ,3 ,0 
4 ,4 ,1 ,21698 ,22405 ,10 ,7 ,1548 ,1188 ,3 ,0 
19 ,33 ,1 ,15647 ,19897 ,13 ,10 ,2050 ,1702 ,3 ,0 
13 ,25 ,1 ,17923 ,21951 ,12 ,10 ,1838 ,1830 ,3 ,0 
19 ,34 ,1 ,21677 ,25219 ,11 ,11 ,1512 ,1610 ,3 ,0 
18 ,28 ,1 ,19256 ,23140 ,17 ,9 ,2369 ,1370 ,3 ,0 
7 ,6 ,1 ,21085 ,21081 ,9 ,7 ,1652 ,1804 ,3 ,0 
10 ,9 ,1 ,17306 ,20499 ,14 ,10 ,1930 ,1468 ,3 ,0 
26 ,46 ,1 ,15277 ,18583 ,13 ,10 ,1845 ,1451 ,3 ,0 
9 ,8 ,1 ,20221 ,22732 ,13 ,10 ,1870 ,1565 ,3 ,0 
