B1,A1,B2,B3,B4,B5,A2,class
19.53078571,1,16792.85714,16792.85714,16.78571429,2728.714286,1,0
29.44572727,1,22537.59091,22537.59091,11.68181818,1770.045455,3,0
14.5798,1,18261.96667,18261.96667,11.93333333,2013.533333,3,0
12.50845455,1,11560.5,11560.5,13.81818182,2117.863636,1,0
6.7143,1,14737.45,14735.965,10.65,1655.35,8,0
13.1255,1,22124.92857,22124.92857,7.321428571,932.1785714,1,0
25.59441176,1,16817.67647,14949.71176,15.29411765,2474.970588,2,0
8.457583333,1,17292.08333,17292.08333,7.583333333,1010.208333,6,0
33.0435,1,20694.45,18854.515,9.35,2140.5,3,0
0.06725,1,23624.5,23624.5,6.5,589.75,1,1
13.80313333,1,20379.7,19164.14333,11.23333333,1780.633333,2,0
16.92723077,1,18377.84615,18377.84615,11.61538462,1770.538462,3,0
12.701,1,18678.5,18678.5,13.4375,1936.6875,3,0
6.879785714,1,21087.10714,21087.10714,10.28571429,1482.464286,3,0
16.91107143,1,24318.96429,24318.96429,12.92857143,1914.714286,3,0
16.352,1,17629.28,17723.846,15.68,2225.2,1,0
19.29435294,1,20919.14706,20919.14706,12.82352941,2225.558824,2,0
16.82446667,1,21466.63333,21466.63333,12.63333333,2012.533333,7,0
23.32642857,1,19728.39286,19728.39286,16,2670.75,8,0
30.5844,1,11534,11502.06,10.8,1803,3,0
24.058,1,20355.1,20355.1,14.03333333,2357.166667,3,0
1.78753405,1,32615.95341,32615.95341,6.503584229,589.8853047,3,1
0.056149425,1,32674.10728,32674.10728,6.48467433,588.8601533,3,1
29.39066667,1,14444,14444,12.33333333,1805.166667,3,0
6.068571429,1,20205.25,20203.79643,11.03571429,1639.357143,3,0
9.605888889,1,24459.05556,24459.05556,16,2424.666667,13,0
7.9212,1,27160.5,22451.13,12.9,1812.8,4,0
12.81565217,1,18555.69565,18555.69565,14.52173913,2079.869565,1,0
15.62876923,1,15948.5,15948.5,11.34615385,2017.076923,8,0
13.59469231,1,17098.57692,16366.66538,7.115384615,1145.653846,12,0
14.17322727,1,17541.97727,17541.97727,15.81818182,2396.75,3,0
13.66417647,1,16966.41176,16965.09706,9.882352941,1710.882353,3,0
38.46651852,1,20741.25926,23011.92593,9.851851852,1743.037037,3,0
8.029904762,1,21327.21429,21327.21429,9.785714286,1700.309524,3,0
12.70164286,1,20139.96429,20139.96429,15.42857143,2221,3,0
18.82230435,1,15158.8913,15159.06522,12.02173913,1804.782609,6,0
10.80173684,1,18362.5,17302.35,13.81578947,2139.921053,3,0
19.59133333,1,13134.13333,13134.13333,15.3,2456.133333,11,0
21.164,1,21736.06667,21736.06667,11.86666667,1771.466667,3,0
7.195642857,1,21915.92857,19899.76071,11.39285714,1747.464286,3,0
9.767058824,1,16298.97059,16298.97059,14.58823529,2256.647059,3,0
23.44072222,1,21398.55556,21398.55556,10.72222222,1950.972222,1,0
13.37781818,1,19562,19562,15.36363636,2283.727273,2,0
23.88455556,1,19513.72222,19513.72222,16.72222222,2844.388889,1,0
16.83605556,1,17736.58333,17736.58333,12.61111111,1919.055556,2,0
11.169,1,21894.84375,21894.84375,13.71875,2185.15625,1,0
9.871823529,1,22241.55882,22241.55882,10.61764706,1575.205882,2,0
19.26426667,2,20574.33333,20574.33333,7,1367.733333,10,0
6.609363636,3,19378.88636,19378.46136,10.43181818,1515.863636,10,0
10.39594444,2,18392.25,18392.25,15.30555556,2360.777778,10,0
11.5070625,1,19832.46875,19832.46875,13.8125,2158.0625,3,0
16.566,1,12646.38235,12645.97941,7.588235294,1247.117647,3,0
16.21791667,1,19509.875,19509.59583,13.41666667,2100.25,6,0
27.05569231,1,17439,17439,12,1999.076923,3,0
12.36563636,1,25600.18182,25600.18182,15.36363636,2175.227273,3,0
16.80974194,1,17680.51613,17680.61613,11.5483871,1568.451613,3,0
6.730933333,1,19160.66667,19160.66667,10.76666667,1439.666667,3,0
16.37183333,1,16626.27778,16626.27778,18.41666667,2582.555556,3,0
21.30826316,1,19892,19892,12.81578947,2125.684211,7,0
10.63315385,1,16942.11538,16942.11538,12.26923077,1711.307692,8,0
19.58881818,1,19230.59091,19230.59091,11.18181818,1693.909091,4,0
10.49235714,1,14616.32143,14615.86786,8.785714286,1464.214286,5,0
13.46294737,1,19680.92105,19680.92105,17.57894737,2535.526316,2,0
19.367625,1,13251.6875,13250.08125,7.5,1646.8125,1,0
18.32015385,1,14511.11538,14511.11538,12.92307692,1800.307692,6,0
47.611375,1,14539.5,14539.5,8.375,1790.0625,3,0
