B1,B2,B3,A1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A2,class
30 ,39 ,1546 ,1 ,20822 ,23472 ,550916586 ,19562 ,23384 ,546834291 ,10 ,9 ,81 ,1683 ,1862 ,3468403 ,3 ,0 
21 ,36 ,1272 ,1 ,23291 ,25744 ,662731394 ,23291 ,25744 ,662731394 ,13 ,9 ,83 ,2322 ,1947 ,3790743 ,3 ,0 
7 ,8 ,57 ,1 ,18131 ,22733 ,516800935 ,18131 ,22733 ,516794287 ,10 ,9 ,81 ,1474 ,1352 ,1827932 ,3 ,0 
9 ,8 ,71 ,1 ,20252 ,22834 ,521395860 ,20252 ,22834 ,521395860 ,14 ,11 ,113 ,1973 ,1676 ,2809810 ,3 ,0 
21 ,31 ,970 ,2 ,19554 ,23596 ,556778753 ,20029 ,24421 ,596380249 ,14 ,11 ,126 ,1869 ,1607 ,2581045 ,3 ,0 
14 ,27 ,742 ,3 ,19752 ,22968 ,527537088 ,16657 ,21310 ,454109838 ,11 ,9 ,90 ,1727 ,1510 ,2280408 ,3 ,0 
0 ,0 ,0 ,1 ,32744 ,24946 ,622288107 ,32744 ,24946 ,622288107 ,6 ,1 ,0 ,706 ,357 ,127514 ,3 ,1 
3 ,19 ,376 ,1 ,32703 ,24938 ,621905573 ,32703 ,24938 ,621905573 ,6 ,1 ,1 ,579 ,85 ,7267 ,3 ,1 
0 ,0 ,0 ,1 ,32724 ,24952 ,622599919 ,32724 ,24952 ,622599919 ,6 ,1 ,0 ,811 ,426 ,181501 ,3 ,1 
0 ,0 ,0 ,1 ,32405 ,24606 ,605478222 ,32405 ,24606 ,605478222 ,6 ,1 ,0 ,755 ,364 ,132792 ,3 ,1 
18 ,29 ,851 ,2 ,15686 ,20925 ,437865997 ,15686 ,20925 ,437865997 ,14 ,8 ,69 ,2208 ,1506 ,2267749 ,3 ,0 
15 ,29 ,869 ,3 ,19327 ,21958 ,482133096 ,19326 ,21958 ,482148559 ,11 ,9 ,89 ,1585 ,1474 ,2171717 ,3 ,0 
13 ,35 ,1195 ,1 ,15507 ,18781 ,352732954 ,15507 ,18781 ,352732954 ,5 ,5 ,30 ,731 ,1124 ,1264071 ,3 ,0 
15 ,28 ,811 ,1 ,19719 ,22527 ,507471487 ,19719 ,22527 ,507471487 ,12 ,9 ,87 ,1861 ,1733 ,3002162 ,3 ,0 
12 ,29 ,820 ,1 ,18966 ,24313 ,591139076 ,18966 ,24313 ,591139076 ,8 ,8 ,60 ,1260 ,1539 ,2369080 ,3 ,0 
18 ,29 ,830 ,1 ,18957 ,22458 ,504372151 ,18957 ,22458 ,504372151 ,13 ,9 ,74 ,2216 ,1902 ,3617721 ,3 ,0 
20 ,31 ,990 ,1 ,20611 ,23584 ,556216786 ,20611 ,23584 ,556216786 ,12 ,8 ,63 ,2322 ,1997 ,3987788 ,3 ,0 
8 ,7 ,54 ,1 ,17357 ,21045 ,442903110 ,17357 ,21045 ,442903110 ,12 ,10 ,92 ,1710 ,1473 ,2169338 ,3 ,0 
12 ,4 ,18 ,1 ,20735 ,23022 ,530024023 ,20735 ,23022 ,530024023 ,18 ,5 ,27 ,2714 ,871 ,759043 ,3 ,0 
8 ,6 ,38 ,1 ,18404 ,22463 ,504567315 ,17681 ,22563 ,509071764 ,12 ,9 ,79 ,1912 ,1527 ,2331134 ,3 ,0 
20 ,32 ,996 ,1 ,20340 ,23010 ,529445187 ,19636 ,23281 ,542021906 ,14 ,9 ,74 ,2046 ,1349 ,1819683 ,3 ,0 
14 ,33 ,1121 ,1 ,19138 ,21918 ,480415776 ,19135 ,21920 ,480483081 ,7 ,8 ,60 ,1133 ,1269 ,1610226 ,3 ,0 
10 ,7 ,55 ,1 ,21585 ,23607 ,557313209 ,21585 ,23607 ,557313209 ,14 ,10 ,99 ,2166 ,1522 ,2315367 ,3 ,0 
13 ,22 ,479 ,1 ,19699 ,22900 ,524401964 ,19699 ,22900 ,524401964 ,11 ,9 ,85 ,1732 ,1911 ,3650503 ,3 ,0 
8 ,7 ,56 ,1 ,17575 ,21254 ,451723463 ,17575 ,21254 ,451723463 ,8 ,7 ,54 ,1355 ,1619 ,2621591 ,3 ,0 
18 ,29 ,850 ,1 ,21171 ,24614 ,605865421 ,21171 ,24614 ,605865421 ,15 ,9 ,81 ,2505 ,1763 ,3109722 ,3 ,0 
12 ,8 ,63 ,1 ,15720 ,20355 ,414328704 ,16756 ,20300 ,412086949 ,16 ,10 ,91 ,2566 ,1670 ,2789688 ,3 ,0 
16 ,28 ,759 ,1 ,18870 ,23155 ,536157675 ,18870 ,23155 ,536157675 ,15 ,9 ,77 ,2243 ,1696 ,2876933 ,3 ,0 
19 ,27 ,736 ,1 ,20352 ,21892 ,479276144 ,20352 ,21892 ,479276144 ,14 ,9 ,82 ,2130 ,1488 ,2213604 ,3 ,0 
24 ,41 ,1655 ,1 ,22299 ,23743 ,563712123 ,19465 ,23076 ,532490514 ,9 ,7 ,54 ,1713 ,2017 ,4068834 ,3 ,0 
20 ,32 ,1010 ,1 ,19040 ,22911 ,524907979 ,19040 ,22911 ,524907979 ,13 ,9 ,85 ,1807 ,1441 ,2076852 ,3 ,0 
22 ,41 ,1663 ,1 ,18328 ,22753 ,517707347 ,18328 ,22753 ,517707347 ,9 ,8 ,65 ,1482 ,1529 ,2337483 ,3 ,0 
20 ,35 ,1250 ,1 ,22665 ,24180 ,584684677 ,21528 ,23899 ,571143254 ,27 ,58 ,3401 ,66458 ,346572 ,120000000000 ,3 ,0 
14 ,18 ,321 ,1 ,16546 ,21274 ,452592491 ,16546 ,21274 ,452583669 ,13 ,10 ,91 ,1933 ,1565 ,2449153 ,3 ,0 
6 ,6 ,40 ,1 ,20173 ,23690 ,561233101 ,20173 ,23690 ,561233101 ,10 ,9 ,84 ,1459 ,1469 ,2156506 ,3 ,0 
13 ,14 ,186 ,1 ,19396 ,21904 ,479788212 ,19396 ,21904 ,479788212 ,8 ,8 ,64 ,1428 ,1885 ,3552701 ,3 ,0 
13 ,28 ,768 ,1 ,22131 ,22344 ,499265656 ,20810 ,22173 ,491644039 ,9 ,8 ,62 ,1527 ,1438 ,2069110 ,3 ,0 
20 ,33 ,1095 ,1 ,22422 ,25667 ,658808570 ,22422 ,25667 ,658808570 ,11 ,7 ,53 ,2089 ,1988 ,3953336 ,3 ,0 
21 ,32 ,1040 ,1 ,20098 ,22850 ,522115772 ,20098 ,22850 ,522115772 ,16 ,8 ,70 ,2618 ,1880 ,3536224 ,3 ,0 
24 ,40 ,1634 ,1 ,18379 ,21509 ,462640460 ,18280 ,21563 ,464955991 ,9 ,10 ,95 ,1448 ,1588 ,2523322 ,3 ,0 
28 ,39 ,1555 ,1 ,17638 ,21896 ,479424700 ,17639 ,21896 ,479415883 ,15 ,9 ,79 ,2406 ,1748 ,3055492 ,3 ,0 
5 ,5 ,29 ,1 ,14757 ,20988 ,440494990 ,14744 ,20993 ,440726370 ,10 ,8 ,63 ,1528 ,1318 ,1736141 ,3 ,0 
19 ,36 ,1272 ,1 ,19683 ,22366 ,500226715 ,17482 ,21341 ,455449303 ,13 ,21 ,430 ,15586 ,98475 ,9697349868 ,3 ,0 
31 ,44 ,1930 ,1 ,19997 ,22443 ,503690348 ,20639 ,23087 ,532992834 ,13 ,9 ,85 ,2170 ,2179 ,4746459 ,3 ,0 
29 ,71 ,5015 ,1 ,21768 ,25403 ,645322739 ,21768 ,25403 ,645322739 ,9 ,8 ,62 ,1424 ,1518 ,2302893 ,3 ,0 
19 ,29 ,834 ,1 ,20989 ,22508 ,506612836 ,20989 ,22508 ,506612836 ,12 ,9 ,84 ,2186 ,2017 ,4067128 ,3 ,0 
16 ,24 ,600 ,1 ,16693 ,20948 ,438803109 ,16693 ,20947 ,438796752 ,16 ,9 ,74 ,2457 ,1421 ,2019367 ,3 ,0 
16 ,29 ,835 ,1 ,21694 ,24281 ,589573006 ,21694 ,24281 ,589573006 ,13 ,9 ,84 ,2067 ,1448 ,2097513 ,3 ,0 
20 ,34 ,1183 ,1 ,16616 ,20492 ,419941724 ,16616 ,20492 ,419941724 ,11 ,10 ,93 ,1688 ,1812 ,3283240 ,3 ,0 
22 ,41 ,1702 ,1 ,18407 ,21977 ,483010425 ,18407 ,21977 ,482989393 ,8 ,7 ,43 ,1351 ,1439 ,2069822 ,3 ,0 
8 ,6 ,41 ,1 ,18551 ,20628 ,425510897 ,18551 ,20628 ,425510897 ,14 ,9 ,79 ,2008 ,1428 ,2038813 ,3 ,0 
