B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,class,A1
16.46046667,21,19116,22471,19116,22471,14,8,2236,1831,0,12
12.32609091,24,20218,22428,20218,22428,49,165,157952,968352,0,3
29.449125,44,18512,21061,18434,20925,10,10,1473,1593,0,3
25.06636364,37,21335,22357,21335,22357,11,9,2205,2064,0,3
31.8289,38,18669,21715,18669,21715,12,9,2218,2301,0,12
10.116,8,22027,23330,22027,23330,15,10,2153,1523,0,8
17.46617647,27,18095,23326,18095,23326,13,8,2346,1765,0,1
10.83408333,7,22702,25095,22702,25096,15,9,2305,1361,0,2
36.52172727,46,20108,23508,20108,23508,12,7,2336,1884,0,3
24.63853846,39,16604,21319,16604,21319,11,7,2334,2184,0,3
23.32585714,34,18073,20631,18073,20631,12,8,2273,2219,0,3
10.10923529,7,20334,23767,19037,23658,15,8,2238,1273,0,3
12.9665,10,14520,20178,14520,20178,15,9,2398,1566,0,3
12.53466667,8,17447,21362,17447,21362,16,9,2324,1339,0,3
7.714129032,8,18805,22231,18805,22230,10,8,1608,1525,0,3
18.209,30,19444,19414,19444,19414,12,10,1802,1704,0,3
14.15766667,26,21081,23098,21081,23098,11,9,1695,1468,0,1
27.23533333,42,16813,21510,16813,21510,9,8,2100,2598,0,2
24.2208,32,19613,21685,19613,21685,17,7,2588,1190,0,3
30.55477778,42,17641,20847,17641,20847,11,7,2166,1937,0,3
67.32477778,99,21989,21005,13357,18748,42,69,3387,4535,0,3
11.46526667,6,22131,22624,22131,22624,14,7,2227,1210,0,6
22.12416667,32,16335,21170,16335,21170,12,9,1981,1816,0,1
10.50247059,7,18503,21891,18501,21892,14,8,2145,1246,0,2
16.37433333,21,16633,22207,16633,22207,12,7,1872,1215,0,1
11.312,43,26630,22057,26630,22057,6,1,625,167,1,8
9.8992,7,17728,20808,17728,20808,13,9,2106,1736,0,11
7.289583333,6,17175,21649,17175,21649,11,8,1745,1373,0,3
7.3505,5,14432,18762,14432,18762,13,6,2151,1189,0,6
28.13642857,40,22037,22995,19800,23263,11,8,2046,1696,0,3
15.1969,5,15454,21038,15454,21038,19,5,2942,936,0,2
8.3511,7,16931,21703,16931,21703,12,10,1633,1531,0,1
15.59941463,29,19434,22349,20393,22570,13,9,2084,1406,0,3
24.28731818,35,20334,24005,20334,24004,13,8,2455,1896,0,3
28.07907692,36,15917,20952,15917,20952,10,8,1994,2180,0,1
23.69336364,36,16897,18788,16897,18788,8,8,1191,1462,0,2
25.7503125,38,22844,23940,21287,23629,12,9,1715,1453,0,3
0.068387218,0,32649,24861,32649,24861,6,0,589,69,1,3
0.055706767,0,32821,25051,32821,25051,6,0,589,69,1,6
18.8188,28,21100,23327,21100,23327,14,10,2055,1576,0,3
