B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,class,A1,A2
32.034,43.62412355,20233.41667,24294.88241,20233.41667,24294.88241,11.33333333,8.409650541,1933.5,1924.026399,0,1,3
11.82538462,7.948138423,18710.84615,21468.44539,18710.84615,21468.44539,17.53846154,9.430844522,2391.961538,1361.649212,0,1,6
16.5832,28.77941458,16795,20992.72506,16795,20992.72506,11.46666667,8.84207115,1990.766667,1790.798196,0,1,6
18.17895833,32.59692537,21247.8125,24313.99048,21247.8125,24313.99048,9.791666667,8.149535604,1431.916667,1415.572276,0,1,3
14.42273684,20.07275285,18654,22577.77774,18654,22577.77774,13.21052632,10.46336439,2196.947368,1915.513755,0,1,3
15.62447059,27.27305641,22651.55882,24930.36795,22651.55882,24930.36795,12.82352941,7.512619142,1877.264706,1235.611597,0,1,6
9.689090909,6.977322402,19493.81818,22986.05659,19493.81818,22986.05659,15.31818182,9.493473182,2217.227273,1463.985902,0,1,3
9.632888889,4.171019818,17649.94444,19395.01485,17649.94444,19395.01485,16.55555556,4.878777422,2677.055556,855.4171479,0,1,3
26.42466667,38.15265166,20736.3,24962.86977,20736.3,24962.86977,15.4,9.502981988,2577.4,2134.429676,0,2,10
14.7101875,22.19607256,21207.96875,25258.18476,21207.25938,25258.61719,11.3125,8.334557202,1880.21875,1567.512196,0,3,10
13.83163636,19.66791882,18914,20980.69993,20296.19545,22172.30055,12.77272727,7.121872955,2188.772727,1661.147931,0,1,6
25.90128571,39.62923884,13912.21429,17170.92508,13912.21429,17170.92508,12.28571429,8.713114675,2044.5,2288.816062,0,1,3
0.0621875,0.011424856,26891.0625,22351.89589,26891.0625,22351.89589,6.5,0.5,589.75,69.53551251,1,1,1
22.38971429,45.92584144,17727.69048,21296.99182,17727.69048,21296.99182,12.28571429,9.1268461,1989.52381,1834.946791,0,1,8
22.8846875,37.30665751,20140.6875,22950.95902,20140.6875,22950.95902,12.125,7.912608609,2311.40625,2118.461188,0,1,3
16.91376471,25.22063568,20567.05882,22539.34002,20567.05882,22539.34002,11.82352941,8.009077894,2304,2231.958636,0,1,3
16.69428571,29.74122407,20000.85714,23358.3722,20000.85714,23358.3722,12.53571429,8.428193091,2103.178571,1839.578757,0,1,3
8.5495625,6.579528763,16819.5625,21250.50573,16819.5625,21250.50573,13.09375,8.917536708,1985.90625,1498.546324,0,1,3
29.571,39.32378532,20822.20588,23471.61235,19562.21471,23384.48826,9.882352941,9.002498692,1682.617647,1862.364974,0,1,6
21.28977778,35.66515554,23291.16667,25743.56995,23291.16667,25743.56995,13.38888889,9.117375895,2322.222222,1946.98301,0,1,4
7.081666667,7.533612487,18131.27778,22733.25615,18131.46111,22733.10994,10.38888889,9.000857298,1474,1352.010273,0,1,3
8.978,8.399379328,20251.72727,22834.09424,20251.72727,22834.09424,13.54545455,10.60757565,1972.863636,1676.248715,0,1,3
20.75335294,31.14439495,19554.35294,23596.15971,20028.72353,24420.89778,13.52941176,11.21510351,1868.617647,1606.563139,0,2,10
14.24836842,27.23248266,19751.63158,22968.17555,16656.99737,21309.85307,11.15789474,9.466078819,1727.131579,1510.102004,0,3,10
0.124714286,0.295624781,32743.70849,24945.70319,32743.70849,24945.70319,6.474903475,0.552589106,706.2249035,357.0913608,1,1,6
2.978462243,19.39194386,32703.10526,24938.03467,32703.10526,24938.03467,6.421052632,0.716791599,579.0377574,85.24463218,1,1,3
0.058931298,0.010451408,32723.58206,24951.9522,32723.58206,24951.9522,6.461832061,0.569981654,811.0171756,426.0287881,1,1,3
0.054523077,0.008577444,32404.68462,24606.46707,32404.68462,24606.46707,6.484615385,0.52965323,755.3153846,364.4058185,1,1,3
17.5522,29.16914346,15685.86667,20925.24783,15685.86667,20925.24783,14.33333333,8.295915997,2207.666667,1505.90483,0,2,10
14.62,29.48074786,19326.97222,21957.52936,19326.39722,21957.88148,10.5,9.441339359,1584.555556,1473.674629,0,3,10
12.626,34.57319565,15507.18182,18781.18617,15507.18182,18781.18617,4.681818182,5.488718708,731.3181818,1124.308935,0,1,3
14.5438125,28.47973795,19718.875,22527.12779,19718.875,22527.12779,11.5,9.327379053,1861,1732.674901,0,1,3
12.235125,28.62750062,18965.5625,24313.3518,18965.5625,24313.3518,7.84375,7.738335476,1260.3125,1539.181447,0,1,3
17.9918125,28.8157491,18957,22458.23124,18957,22458.23124,13.3125,8.614803756,2215.6875,1902.03078,0,1,3
20.20775,31.46671298,20610.66667,23584.24867,20610.66667,23584.24867,12.375,7.93626959,2321.541667,1996.944791,0,1,3
7.601083333,7.334464528,17356.83333,21045.26335,17356.83333,21045.26335,12,9.596006114,1710.416667,1472.867269,0,1,6
12.4150625,4.290725106,20734.6875,23022.2506,20734.6875,23022.2506,18.25,5.22613624,2714.25,871.2308463,0,1,1
7.922333333,6.144216133,18404.19444,22462.57588,17681.09167,22562.61873,12.38888889,8.889062498,1911.5,1526.805061,0,1,8
19.50169231,31.55437193,20339.5,23009.67594,19636.08846,23281.36392,13.73076923,8.600347454,2046.384615,1348.956151,0,1,3
13.74216667,33.48171175,19137.5,21918.38899,19135.05417,21919.92429,7.458333333,7.724307772,1132.708333,1268.946954,0,1,6
10.42692308,7.4380053,21584.92308,23607.48204,21584.92308,23607.48204,14,9.973040583,2166.461538,1521.632985,0,1,6
