B1,B2,B3,A1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A2,class
13.83 ,19.67 ,386.83 ,1,18914.00 ,20980.70 ,440189769.50 ,20296.20 ,22172.30 ,491610911.80 ,12.77 ,7.12 ,50.72 ,2188.77 ,1661.15 ,2759412.45 ,3,0
25.90 ,39.63 ,1570.48 ,1,13912.21 ,17170.93 ,294840668.00 ,13912.21 ,17170.93 ,294840668.00 ,12.29 ,8.71 ,75.92 ,2044.50 ,2288.82 ,5238678.96 ,3,0
0.06 ,0.01 ,0.00 ,1,26891.06 ,22351.90 ,499607249.70 ,26891.06 ,22351.90 ,499607249.70 ,6.50 ,0.50 ,0.25 ,589.75 ,69.54 ,4835.19 ,3,1
22.39 ,45.93 ,2109.18 ,1,17727.69 ,21296.99 ,453561860.40 ,17727.69 ,21296.99 ,453561860.40 ,12.29 ,9.13 ,83.30 ,1989.52 ,1834.95 ,3367029.73 ,3,0
22.89 ,37.31 ,1391.79 ,1,20140.69 ,22950.96 ,526746520.20 ,20140.69 ,22950.96 ,526746520.20 ,12.13 ,7.91 ,62.61 ,2311.41 ,2118.46 ,4487877.80 ,3,0
16.91 ,25.22 ,636.08 ,1,20567.06 ,22539.34 ,508021848.50 ,20567.06 ,22539.34 ,508021848.50 ,11.82 ,8.01 ,64.15 ,2304.00 ,2231.96 ,4981639.35 ,3,0
16.69 ,29.74 ,884.54 ,1,20000.86 ,23358.37 ,545613551.60 ,20000.86 ,23358.37 ,545613551.60 ,12.54 ,8.43 ,71.03 ,2103.18 ,1839.58 ,3384050.00 ,3,0
8.55 ,6.58 ,43.29 ,1,16819.56 ,21250.51 ,451583993.60 ,16819.56 ,21250.51 ,451583993.60 ,13.09 ,8.92 ,79.52 ,1985.91 ,1498.55 ,2245641.09 ,3,0
29.57 ,39.32 ,1546.36 ,1,20822.21 ,23471.61 ,550916586.20 ,19562.22 ,23384.49 ,546834291.20 ,9.88 ,9.00 ,81.05 ,1682.62 ,1862.37 ,3468403.30 ,3,0
21.29 ,35.67 ,1272.00 ,1,23291.17 ,25743.57 ,662731393.80 ,23291.17 ,25743.57 ,662731393.80 ,13.39 ,9.12 ,83.13 ,2322.22 ,1946.98 ,3790742.84 ,3,0
7.08 ,7.53 ,56.76 ,1,18131.28 ,22733.26 ,516800935.00 ,18131.46 ,22733.11 ,516794287.40 ,10.39 ,9.00 ,81.02 ,1474.00 ,1352.01 ,1827931.78 ,3,0
8.98 ,8.40 ,70.55 ,1,20251.73 ,22834.09 ,521395859.70 ,20251.73 ,22834.09 ,521395859.70 ,13.55 ,10.61 ,112.52 ,1972.86 ,1676.25 ,2809809.75 ,3,0
20.75 ,31.14 ,969.97 ,2,19554.35 ,23596.16 ,556778752.90 ,20028.72 ,24420.90 ,596380248.60 ,13.53 ,11.22 ,125.78 ,1868.62 ,1606.56 ,2581045.12 ,3,0
14.25 ,27.23 ,741.61 ,3,19751.63 ,22968.18 ,527537088.20 ,16657.00 ,21309.85 ,454109837.70 ,11.16 ,9.47 ,89.61 ,1727.13 ,1510.10 ,2280408.06 ,3,0
0.13 ,0.30 ,0.09 ,1,32743.71 ,24945.70 ,622288107.40 ,32743.71 ,24945.70 ,622288107.40 ,6.48 ,0.55 ,0.31 ,706.23 ,357.09 ,127514.24 ,3,1
2.98 ,19.39 ,376.05 ,1,32703.11 ,24938.04 ,621905573.00 ,32703.11 ,24938.04 ,621905573.00 ,6.42 ,0.72 ,0.51 ,579.04 ,85.25 ,7266.65 ,3,1
0.06 ,0.01 ,0.00 ,1,32723.58 ,24951.95 ,622599918.50 ,32723.58 ,24951.95 ,622599918.50 ,6.46 ,0.57 ,0.33 ,811.02 ,426.03 ,181500.53 ,3,1
0.06 ,0.01 ,0.00 ,1,32404.69 ,24606.47 ,605478221.60 ,32404.69 ,24606.47 ,605478221.60 ,6.49 ,0.53 ,0.28 ,755.32 ,364.41 ,132791.60 ,3,1
17.55 ,29.17 ,850.84 ,2,15685.87 ,20925.25 ,437865996.60 ,15685.87 ,20925.25 ,437865996.60 ,14.33 ,8.30 ,68.82 ,2207.67 ,1505.91 ,2267749.36 ,3,0
14.62 ,29.48 ,869.11 ,3,19326.97 ,21957.53 ,482133095.80 ,19326.40 ,21957.88 ,482148559.10 ,10.50 ,9.44 ,89.14 ,1584.56 ,1473.68 ,2171716.91 ,3,0
12.63 ,34.57 ,1195.31 ,1,15507.18 ,18781.19 ,352732953.80 ,15507.18 ,18781.19 ,352732953.80 ,4.68 ,5.49 ,30.13 ,731.32 ,1124.31 ,1264070.58 ,3,0
14.54 ,28.48 ,811.10 ,1,19718.88 ,22527.13 ,507471486.60 ,19718.88 ,22527.13 ,507471486.60 ,11.50 ,9.33 ,87.00 ,1861.00 ,1732.68 ,3002162.31 ,3,0
12.24 ,28.63 ,819.53 ,1,18965.56 ,24313.35 ,591139075.70 ,18965.56 ,24313.35 ,591139075.70 ,7.84 ,7.74 ,59.88 ,1260.31 ,1539.18 ,2369079.53 ,3,0
17.99 ,28.82 ,830.35 ,1,18957.00 ,22458.23 ,504372150.60 ,18957.00 ,22458.23 ,504372150.60 ,13.31 ,8.62 ,74.22 ,2215.69 ,1902.03 ,3617721.09 ,3,0
20.21 ,31.47 ,990.15 ,1,20610.67 ,23584.25 ,556216785.60 ,20610.67 ,23584.25 ,556216785.60 ,12.38 ,7.94 ,62.98 ,2321.54 ,1996.95 ,3987788.50 ,3,0
7.60 ,7.33 ,53.79 ,1,17356.83 ,21045.26 ,442903109.50 ,17356.83 ,21045.26 ,442903109.50 ,12.00 ,9.60 ,92.08 ,1710.42 ,1472.87 ,2169337.99 ,3,0
12.42 ,4.29 ,18.41 ,1,20734.69 ,23022.25 ,530024022.50 ,20734.69 ,23022.25 ,530024022.50 ,18.25 ,5.23 ,27.31 ,2714.25 ,871.23 ,759043.19 ,3,0
7.92 ,6.14 ,37.75 ,1,18404.19 ,22462.58 ,504567315.00 ,17681.09 ,22562.62 ,509071764.10 ,12.39 ,8.89 ,79.02 ,1911.50 ,1526.81 ,2331133.69 ,3,0
19.50 ,31.55 ,995.68 ,1,20339.50 ,23009.68 ,529445186.90 ,19636.09 ,23281.36 ,542021905.80 ,13.73 ,8.60 ,73.97 ,2046.39 ,1348.96 ,1819682.70 ,3,0
13.74 ,33.48 ,1121.03 ,1,19137.50 ,21918.39 ,480415775.80 ,19135.05 ,21919.92 ,480483081.10 ,7.46 ,7.72 ,59.67 ,1132.71 ,1268.95 ,1610226.37 ,3,0
10.43 ,7.44 ,55.32 ,1,21584.92 ,23607.48 ,557313208.50 ,21584.92 ,23607.48 ,557313208.50 ,14.00 ,9.97 ,99.46 ,2166.46 ,1521.63 ,2315366.94 ,3,0
12.94 ,21.88 ,478.93 ,1,19699.11 ,22899.83 ,524401963.90 ,19699.11 ,22899.83 ,524401963.90 ,10.69 ,9.20 ,84.71 ,1732.28 ,1910.63 ,3650502.53 ,3,0
7.56 ,7.46 ,55.59 ,1,17575.37 ,21253.79 ,451723463.40 ,17575.37 ,21253.79 ,451723463.40 ,8.21 ,7.35 ,53.96 ,1354.66 ,1619.13 ,2621591.28 ,3,0
18.49 ,29.16 ,850.25 ,1,21171.43 ,24614.33 ,605865421.30 ,21171.43 ,24614.33 ,605865421.30 ,15.39 ,9.02 ,81.31 ,2504.57 ,1763.44 ,3109722.10 ,3,0
11.68 ,7.96 ,63.43 ,1,15720.03 ,20355.07 ,414328703.90 ,16755.97 ,20299.93 ,412086949.10 ,16.24 ,9.52 ,90.60 ,2565.69 ,1670.24 ,2789688.01 ,3,0
16.38 ,27.55 ,758.91 ,1,18869.91 ,23155.08 ,536157674.50 ,18869.91 ,23155.08 ,536157674.50 ,14.64 ,8.80 ,77.47 ,2243.33 ,1696.15 ,2876932.98 ,3,0
18.89 ,27.12 ,735.60 ,1,20352.05 ,21892.38 ,479276143.90 ,20352.05 ,21892.38 ,479276143.90 ,13.97 ,9.03 ,81.55 ,2130.13 ,1487.82 ,2213603.59 ,3,0
23.76 ,40.68 ,1654.76 ,1,22298.91 ,23742.62 ,563712122.70 ,19464.67 ,23075.76 ,532490513.70 ,8.83 ,7.38 ,54.49 ,1713.31 ,2017.14 ,4068834.10 ,3,0
19.86 ,31.78 ,1009.69 ,1,19039.88 ,22910.87 ,524907979.20 ,19039.88 ,22910.87 ,524907979.20 ,13.17 ,9.21 ,84.89 ,1807.38 ,1441.13 ,2076851.90 ,3,0
22.34 ,40.78 ,1663.36 ,1,18327.77 ,22753.18 ,517707346.50 ,18327.77 ,22753.18 ,517707346.50 ,9.20 ,8.04 ,64.56 ,1481.83 ,1528.88 ,2337483.01 ,3,0
20.32 ,35.35 ,1249.94 ,1,22664.72 ,24180.25 ,584684676.60 ,21527.83 ,23898.60 ,571143253.60 ,26.78 ,58.32 ,3401.43 ,66458.13 ,346571.73 ,120000000000.00 ,3,0
13.70 ,17.91 ,320.68 ,1,16545.80 ,21274.22 ,452592491.10 ,16546.07 ,21274.01 ,452583668.70 ,13.03 ,9.55 ,91.17 ,1932.63 ,1564.98 ,2449152.97 ,3,0
