B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,A1,A2,class
21.26517391,34.16355645,1167.148589,18658.34783,22388.16375,501229876.3,17741.81087,22263.1743,495648930.1,12.06521739,8.99855586,80.97400756,1775.108696,1572.012753,2471224.097,1,3,0
16.39464286,31.65937702,1002.316153,22941.78571,22880.18323,523502784.5,22941.78571,22880.18323,523502784.5,10.10714286,9.929534897,98.59566327,1434.571429,1506.14158,2268462.459,1,3,0
14.28638889,10.62978709,112.9923736,22220.52778,23535.19532,553905418.6,22220.52778,23535.19532,553905418.6,13.58333333,8.674275506,75.24305556,2269.027778,1836.428486,3372469.583,1,3,0
8.848555556,6.617944337,43.79718725,19983.72222,23362.06048,545785870,19983.72222,23362.06048,545785870,12.66666667,8.906926144,79.33333333,1970.277778,1665.487376,2773848.201,1,3,0
8.29145,5.661629823,32.05405225,21046.325,23820.77047,567429105.6,21046.325,23820.77047,567429105.6,14.25,7.395099729,54.6875,2140.6,1223.361512,1496613.39,1,3,0
18.7146,28.85045835,832.348947,22158.53333,23625.86139,558181326.6,20640.74333,23528.81476,553605124.2,15.4,9.991996797,99.84,2334.033333,1802.337695,3248421.166,1,3,0
22.12923529,36.96672183,1366.538523,22884.85294,24035.81485,577720395.7,22884.85294,24035.81485,577720395.7,12.88235294,9.266526432,85.86851211,2137.617647,1790.465911,3205768.177,1,3,0
15.43782143,24.50960347,600.7206622,21802.89286,23968.04374,574467120.7,21802.89286,23968.04374,574467120.7,12.78571429,8.145363023,66.34693878,2107.607143,1742.834275,3037471.31,1,3,0
16.86975,34.057434,1159.908811,19574.375,21736.95051,472495017.7,19574.375,21736.95051,472495017.7,7.083333333,5.957604851,35.49305556,969.25,1103.923656,1218647.438,1,3,0
10.51265517,10.29252095,105.9359876,20135.7931,22519.30264,507118991.5,17502.63103,22219.4763,493705127.1,11.5862069,10.24027627,104.863258,1524.724138,1480.646897,2192315.234,1,3,0
11.5101,22.43092032,503.1461863,16514.525,20378.49369,415283005.2,15615.5325,20290.2875,411695766.8,10.4,10.98362417,120.64,1471.4,1676.23845,2809775.34,1,3,0
29.84613333,46.49296917,2161.596182,19877.73333,23631.45872,558445841.5,19877.73333,23631.45872,558445841.5,7.733333333,6.071426704,36.86222222,1509.233333,1933.277505,3737561.912,1,3,0
18.749,33.14150283,1098.35921,20597.68182,23762.61012,564661639.9,20596.78636,23763.16318,564687924.2,13.04545455,8.551859302,73.13429752,2025.136364,1355.95375,1838610.572,1,3,0
18.93469231,30.58187184,935.2508853,20455.73077,23615.82202,557707049.6,20455.73077,23615.82202,557707049.6,14.80769231,9.607766213,92.3091716,2182.461538,1704.625545,2905748.249,1,3,0
10.87576471,12.30059305,151.3045894,20469.67647,23522.56665,553311142,20469.67647,23522.56665,553311142,13.29411765,7.201018767,51.85467128,1986,1217.610147,1482574.471,1,3,0
14.71,21.75688185,473.361908,14348.54545,19633.76924,385484894.7,14348.54545,19633.76924,385484894.7,12.45454545,9.1389639,83.52066116,1996.272727,1919.922777,3686103.471,1,3,0
26.6744,38.33941888,1469.91104,19400.53333,21888.78008,479118693.3,19400.53333,21888.78008,479118693.3,14.26666667,6.860191121,47.06222222,2265.033333,1729.256015,2990326.366,1,3,0
11.80111111,12.73930329,162.2898482,16585.19444,22960.4851,527183876,16586.14722,22959.80043,527152435.8,13.02777778,10.1310472,102.6381173,1923.972222,1586.201096,2516033.916,1,3,0
19.05114286,30.976593,959.5493141,19486.25,23464.62325,550588544.3,19486.25,23464.62325,550588544.3,10.60714286,8.134315696,66.16709184,1495.392857,1333.332435,1777775.381,1,3,0
7.944692308,7.328223863,53.70286498,18515.11538,21201.68379,449511395.7,18515.11538,21201.68379,449511395.7,11.88461538,9.943404939,98.87130178,1834.423077,1724.640323,2974384.244,1,3,0
32.034,43.62412355,1903.064156,20233.41667,24294.88241,590241311.5,20233.41667,24294.88241,590241311.5,11.33333333,8.409650541,70.72222222,1933.5,1924.026399,3701877.583,1,3,0
11.82538462,7.948138423,63.17290439,18710.84615,21468.44539,460894147.5,18710.84615,21468.44539,460894147.5,17.53846154,9.430844522,88.9408284,2391.961538,1361.649212,1854088.575,1,3,0
